City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
392,makakilo city,1,US,1518181020,77,21.35,-158.09,69.8,3.36
393,salina cruz,0,MX,1518185828,59,16.18,-95.2,76.64,15.12
394,touros,64,BR,1518185829,100,-5.2,-35.46,78.35,5.84
395,praya,40,ID,1518184800,94,-8.71,116.27,77.0,1.12
396,khalkhal,80,IR,1518185829,78,37.62,48.53,34.07,1.32
397,victor harbor,0,AU,1518184800,37,-35.55,138.62,82.4,8.05
398,davila,32,PH,1518185830,98,18.47,120.58,74.93,20.15
399,ginir,0,ET,1518185830,14,7.14,40.71,77.09,4.9
400,kruisfontein,0,ZA,1518185831,77,-34.0,24.73,70.97,12.62
401,ranong,0,TH,1518185831,95,9.96,98.62,81.37,8.08
402,linqing,20,CN,1518185831,21,36.85,115.71,30.16,14.18
403,mandalgovi,8,MN,1518185831,55,45.76,106.27,-14.13,7.14
404,kohlu,92,PK,1518185832,33,29.9,69.25,55.9,9.42
405,plouzane,40,FR,1518184800,49,48.38,-4.62,46.4,19.46
406,pontes e lacerda,8,BR,1518185832,81,-15.23,-59.33,85.6,9.04
407,sungaipenuh,92,ID,1518185833,97,-2.08,101.38,67.73,1.25
408,troitsko-pechorsk,76,RU,1518185833,78,62.71,56.19,16.34,4.0
409,sisimiut,32,GL,1518185833,61,66.94,-53.67,-14.13,3.38
410,dong hoi,0,VN,1518185701,100,17.48,106.6,66.2,10.09
411,koulikoro,0,ML,1518184800,17,12.86,-7.56,82.4,11.41
412,mbekenyera,92,TZ,1518185835,67,-10.0,38.98,78.53,5.5
413,hovd,0,NO,1518184200,52,63.83,10.7,42.8,19.46
414,jiuquan,44,CN,1518185835,73,39.73,98.49,0.64,5.91
415,irbit,0,RU,1518185835,82,57.67,63.06,4.15,5.28
416,zongolica,92,MX,1518185836,98,18.67,-97.0,51.98,1.21
417,bilibino,92,RU,1518185836,72,68.06,166.44,-0.09,2.33
418,sawakin,0,SD,1518184800,61,19.1,37.33,78.8,9.17
419,san patricio,48,PY,1518185837,77,-26.98,-56.83,82.94,6.24
420,orkney,8,ZA,1518185837,62,-26.98,26.67,81.23,4.72
421,dunedin,80,NZ,1518185837,94,-45.87,170.5,49.96,2.89
422,saint-leu,76,RE,1518183000,94,-21.15,55.28,84.2,2.24
423,jieshi,100,CN,1518185838,100,22.82,115.83,58.64,11.27
424,ihosy,88,MG,1518185838,94,-22.4,46.13,65.93,3.27
425,koslan,68,RU,1518185839,81,63.46,48.9,15.58,4.38
426,nara,75,JP,1518183000,75,34.68,135.8,41.0,3.36
427,nolinsk,48,RU,1518185840,81,57.56,49.93,8.56,5.01
428,skibbereen,20,IE,1518183000,80,51.55,-9.27,39.2,12.75
429,kaspiyskiy,48,RU,1518185841,75,45.39,47.37,30.61,22.57
430,narsaq,75,GL,1518184200,35,60.91,-46.05,10.4,2.37
431,carauari,0,BR,1518185841,66,-4.88,-66.9,90.5,3.83
432,dakar,44,SN,1518184800,56,14.69,-17.45,69.8,18.34
433,borna,75,DE,1518184200,74,51.12,12.5,33.8,8.05
434,coevorden,75,NL,1518184500,64,52.66,6.74,37.4,13.87
435,chabahar,0,IR,1518185842,93,25.29,60.65,72.23,15.08
436,rocha,88,UY,1518185842,100,-34.48,-54.34,70.93,11.27
437,bodden town,20,KY,1518181200,83,19.28,-81.25,78.8,11.41
438,libertador general san martin,0,AR,1518181200,61,-23.81,-64.79,78.8,3.11
439,gilgit,20,PK,1518185843,87,35.92,74.31,12.02,0.36
440,hobyo,20,SO,1518185844,81,5.35,48.53,77.54,16.58
441,avera,1,US,1518184500,93,33.19,-82.53,48.2,5.91
442,yeppoon,0,AU,1518184800,88,-23.13,150.74,69.8,4.27
443,hirara,68,JP,1518185845,100,24.8,125.28,70.97,16.58
444,bristol,20,GB,1518184560,56,51.45,-2.6,42.8,17.22
445,issoire,90,FR,1518184800,74,45.54,3.25,35.6,6.93
446,iraray,88,PH,1518185847,100,8.99,118.05,76.15,7.29
447,borogontsy,56,RU,1518185847,0,62.67,131.17,-31.63,3.38
448,thaba nchu,20,ZA,1518181200,35,-29.2,26.83,86.0,5.82
449,kashan,0,IR,1518181200,83,33.99,51.44,57.2,4.23
450,adeje,12,NG,1518185848,63,5.68,5.76,90.05,14.63
451,yelets,92,RU,1518185848,88,52.61,38.49,22.96,14.12
452,chuy,48,UY,1518185620,91,-33.69,-53.46,84.88,13.18
453,port augusta,48,AU,1518184800,47,-32.49,137.76,78.8,3.36
454,hithadhoo,48,MV,1518185849,100,-0.6,73.08,83.71,9.37
455,oyo,44,NG,1518185849,52,7.84,3.93,91.72,9.42
456,plainview,1,US,1518184500,44,34.18,-101.71,41.0,16.11
457,channel-port aux basques,68,CA,1518185850,100,47.57,-59.14,19.49,20.94
458,ostrovnoy,88,RU,1518185850,84,68.05,39.51,18.37,20.67
459,kalmunai,56,LK,1518185851,98,7.42,81.82,74.8,4.12
460,solnechnyy,24,RU,1518185851,59,50.72,136.64,-12.87,1.21
461,valenca do piaui,64,BR,1518185852,76,-6.41,-41.75,84.43,6.51
462,aykhal,48,RU,1518185852,26,65.95,111.51,-18.72,4.0
463,anamur,12,TR,1518185852,85,36.08,32.84,61.12,9.64
464,erenhot,8,CN,1518185852,31,43.65,111.97,-1.21,18.66
465,sur,76,OM,1518185853,95,22.57,59.53,71.38,13.18
466,lalmohan,32,BD,1518185853,94,22.34,90.74,68.86,4.61
467,uribia,12,CO,1518185853,63,11.71,-72.27,83.08,19.15
468,kutum,0,SD,1518185854,26,14.2,24.66,82.81,9.37
469,nishihara,1,JP,1518184560,64,35.74,139.53,44.6,3.49
470,vancouver,90,US,1518184560,93,45.63,-122.67,44.6,1.21
471,teahupoo,88,PF,1518184800,94,-17.83,-149.27,75.2,5.82
472,mirador,92,BR,1518185855,89,-6.37,-44.36,79.66,6.29
473,wanning,90,AT,1518184200,74,48.64,13.53,33.8,3.36
474,babu,20,CN,1518185856,93,23.23,104.89,43.66,2.21
475,pohrebyshche,92,UA,1518185856,93,49.49,29.26,34.79,5.73
476,lagoa,75,PT,1518184800,93,37.14,-8.45,51.8,1.12
477,pringsewu,24,ID,1518185857,95,-5.36,104.98,72.5,1.99
478,idenao,20,CM,1518181200,70,4.25,9.0,84.2,4.7
479,lasa,20,CY,1518184800,77,34.92,32.53,64.4,11.41
480,seddon,0,NZ,1518185858,100,-41.67,174.07,55.45,2.1
481,pinheiro machado,36,BR,1518185859,54,-31.58,-53.38,92.98,11.88
482,pilar,75,AR,1518183900,100,-34.46,-58.91,71.6,17.22
483,tateyama,56,JP,1518185859,91,36.66,137.31,13.37,2.37
484,diego de almagro,0,CL,1518185860,57,-26.39,-70.05,73.22,3.83
485,san quintin,8,PH,1518185860,86,17.54,120.52,64.27,2.04
486,naze,75,NG,1518181200,88,5.43,7.07,80.6,2.24
487,mecca,0,SA,1518181200,31,21.43,39.83,91.4,4.7
488,maumere,24,ID,1518185861,100,-8.63,122.22,80.24,3.38
489,sambava,20,MG,1518185861,100,-14.27,50.17,82.85,17.69
490,sao borja,44,BR,1518185862,100,-28.66,-56.0,77.86,15.08
491,linjiang,80,CN,1518185862,86,41.81,126.91,19.58,6.85
492,ust-ishim,56,RU,1518185862,76,57.69,71.17,0.37,3.49
493,ossora,20,RU,1518185863,77,59.24,163.07,20.08,4.27
494,puerto montt,75,CL,1518181200,87,-41.47,-72.94,53.6,5.82
495,sao joao da barra,75,BR,1518181200,66,-21.64,-41.05,84.2,4.7
496,burnie,0,AU,1518185864,100,-41.05,145.91,66.47,9.37
497,benguela,20,AO,1518181200,58,-12.58,13.4,86.0,13.87
498,tocuila,88,MX,1518185865,95,18.95,-97.02,51.35,0.58
499,denpasar,20,ID,1518183000,83,-8.65,115.22,80.6,5.82
500,isangel,8,VU,1518185865,100,-19.55,169.27,80.11,11.27
501,dapitan,40,PH,1518184800,83,10.27,123.95,77.0,5.82
502,coihaique,75,CL,1518181200,76,-45.58,-72.07,48.2,6.93
503,laibin,88,CN,1518185866,87,23.74,109.23,55.04,3.56
504,omboue,24,GA,1518185867,100,-1.57,9.26,81.23,7.4
505,muborak,80,UZ,1518185867,64,39.25,65.15,33.35,6.13
506,zhuanghe,20,CN,1518185867,94,39.7,122.97,24.8,15.9
507,santa maria,0,BR,1518181200,52,-29.69,-53.81,89.6,9.17
508,san lazaro,40,BZ,1518184140,94,18.04,-88.66,75.2,3.56
509,avon park,40,US,1518184440,106,27.6,-81.51,66.2,5.82
510,gouyave,20,GD,1518181200,65,12.16,-61.73,82.4,16.11
511,podgornoye,56,RU,1518185870,75,57.79,82.64,8.33,2.55
512,collie,0,AU,1518185870,78,-33.36,116.15,60.4,12.06
513,shakawe,12,BW,1518185871,74,-18.36,21.84,79.57,8.37
514,beloha,80,MG,1518185871,53,-25.17,45.06,83.08,18.88
515,tilichiki,64,RU,1518185871,79,60.47,166.1,13.42,2.89
516,la ronge,40,CA,1518184800,70,55.1,-105.3,-2.21,17.22
517,petrykivka,90,UA,1518184440,100,48.71,34.62,35.6,2.24
518,mogzon,32,RU,1518185872,51,51.74,111.97,-11.65,11.54
519,tromso,0,NO,1518184200,63,69.65,18.96,30.2,13.87
520,gazojak,44,TM,1518185874,73,41.19,61.4,25.57,9.86
521,alihe,56,CN,1518185874,70,50.57,123.73,-6.88,2.55
522,grand gaube,40,MU,1518181200,78,-20.01,57.66,82.4,8.05
523,susangerd,90,IR,1518183000,33,31.56,48.19,73.4,2.24
524,taoudenni,0,ML,1518185875,26,22.68,-3.98,68.32,13.11
525,port lincoln,0,AU,1518185876,93,-34.72,135.86,68.54,4.38
